"month_name","usertype","number_of_rides"
"January","Customer",4602
"January","Subscriber",98670
"February","Customer",2638
"February","Subscriber",93548
"March","Customer",15923
"March","Subscriber",149688
"April","Customer",47744
"April","Subscriber",217566
"May","Customer",81624
"May","Subscriber",285834
"June","Customer",130218
"June","Subscriber",345177
"July","Customer",175632
"July","Subscriber",381683
"August","Customer",186889
"August","Subscriber",403295
"September","Customer",129173
"September","Subscriber",364046
"October","Customer",71035
"October","Subscriber",300751
"November","Customer",18729
"November","Subscriber",158447
"December","Customer",16430
"December","Subscriber",138662
